FIPS,Pred0,Pred1,Pred2,Pred3,80_0,80_1,80_2,80_3,Actual
20189,349.78065301492416,248.36,265.60464,285.0,Dec-22-2021,Sep-12-2021,Sep-29-2021,Oct-19-2021,
20191,389.06444920731536,263.42,318.4443,314.0,Feb-04-2022,Oct-01-2021,Nov-25-2021,Nov-21-2021,
20193,329.97310597643343,299.77,207.69446,308.0,Dec-06-2021,Nov-06-2021,Aug-06-2021,Nov-15-2021,
20195,338.16682848965326,264.1,254.04326,315.0,Dec-12-2021,Sep-29-2021,Sep-19-2021,Nov-19-2021,
20197,362.6746232317291,263.86,304.8955,268.0,Jan-04-2022,Sep-27-2021,Nov-07-2021,Oct-02-2021,
20199,362.7876785296332,266.9,289.0762,314.0,Jan-10-2022,Oct-06-2021,Oct-29-2021,Nov-23-2021,
20201,343.77667529258906,266.36,272.3686,314.0,Dec-16-2021,Sep-30-2021,Oct-06-2021,Nov-17-2021,
20203,323.57560749289206,278.57,211.83995,308.0,Nov-26-2021,Oct-12-2021,Aug-06-2021,Nov-11-2021,
20205,340.15731051726294,261.7,284.59402,292.0,Dec-13-2021,Sep-25-2021,Oct-18-2021,Oct-26-2021,
20207,379.7814134961878,267.51,321.69193,314.0,Jan-31-2022,Oct-11-2021,Dec-04-2021,Nov-27-2021,
20209,350.92971633950725,266.47,294.12753,314.0,Dec-24-2021,Oct-01-2021,Oct-29-2021,Nov-18-2021,
21001,350.9861470130892,265.0,286.15778,268.0,Dec-27-2021,Oct-03-2021,Oct-24-2021,Oct-06-2021,
21003,338.83453844342523,261.63,254.62221,249.0,Dec-09-2021,Sep-23-2021,Sep-16-2021,Sep-11-2021,
21005,357.583993038076,264.48,302.66702,314.0,Dec-28-2021,Sep-26-2021,Nov-03-2021,Nov-15-2021,
21007,341.3581256221271,249.64,259.6658,316.0,Dec-18-2021,Sep-17-2021,Sep-27-2021,Nov-23-2021,
21009,330.57143411873534,282.29,259.726,330.0,Jan-26-2022,Dec-09-2021,Nov-16-2021,Jan-26-2022,
21011,357.21660703536406,264.58,277.43857,315.0,Dec-31-2021,Sep-29-2021,Oct-12-2021,Nov-19-2021,
21013,347.45948239958204,261.57,287.38666,272.0,Dec-20-2021,Sep-25-2021,Oct-21-2021,Oct-06-2021,
21015,326.6175742795074,265.15,230.02245,298.0,Dec-01-2021,Oct-01-2021,Aug-27-2021,Nov-03-2021,
21017,356.79577981092115,265.68,298.60883,314.0,Dec-30-2021,Sep-30-2021,Nov-02-2021,Nov-18-2021,
21019,344.52958175731897,259.65,267.37344,295.0,Dec-18-2021,Sep-24-2021,Oct-02-2021,Oct-30-2021,
21021,373.3776099085616,267.91,316.69254,316.0,Feb-13-2022,Oct-30-2021,Dec-18-2021,Dec-18-2021,
21023,328.90324853402086,243.57,245.61415,244.0,Dec-01-2021,Sep-07-2021,Sep-09-2021,Sep-08-2021,
21025,343.3691534492006,267.4,291.2172,272.0,Dec-17-2021,Oct-02-2021,Oct-26-2021,Oct-07-2021,
21027,348.760802782773,260.05,258.71606,317.0,Dec-21-2021,Sep-24-2021,Sep-22-2021,Nov-20-2021,
21029,359.47480738215137,266.99,290.47195,321.0,Jan-02-2022,Oct-01-2021,Oct-25-2021,Nov-25-2021,
21031,361.0015197099077,264.71,303.1661,313.0,Jan-09-2022,Oct-04-2021,Nov-12-2021,Nov-22-2021,
21033,390.4097330746358,271.25,302.7385,316.0,Jan-31-2022,Oct-04-2021,Nov-04-2021,Nov-18-2021,
21035,339.19040755230765,277.61,207.43327,300.0,Dec-13-2021,Oct-12-2021,Aug-03-2021,Nov-04-2021,
21037,384.31060657683264,266.08,317.41837,313.0,Jan-28-2022,Oct-02-2021,Nov-22-2021,Nov-18-2021,
21039,349.38202447178355,257.65,259.33582,316.0,Dec-24-2021,Sep-23-2021,Sep-25-2021,Nov-21-2021,
21041,371.41244926459876,252.01,275.5581,233.0,Feb-03-2022,Oct-07-2021,Oct-30-2021,Sep-18-2021,
21043,344.96050664273685,266.2,282.6904,315.0,Jan-06-2022,Oct-20-2021,Nov-05-2021,Dec-08-2021,
21045,344.3054281330543,253.53,266.53458,280.0,Dec-23-2021,Sep-23-2021,Oct-06-2021,Oct-20-2021,
21047,365.73998935959094,266.83,285.28876,298.0,Jan-10-2022,Oct-03-2021,Oct-22-2021,Nov-04-2021,
21049,360.0426997747101,266.48,284.84818,308.0,Jan-18-2022,Oct-16-2021,Nov-03-2021,Nov-27-2021,
21051,368.8511440273208,261.51,272.48123,306.0,Jan-26-2022,Oct-11-2021,Oct-22-2021,Nov-25-2021,
21053,347.54283566058814,268.04,279.8323,330.0,Dec-25-2021,Oct-07-2021,Oct-18-2021,Dec-08-2021,
21055,348.48574063382137,264.48,275.2362,272.0,Dec-23-2021,Sep-30-2021,Oct-11-2021,Oct-08-2021,
21057,357.70096774893653,263.47,271.17368,325.0,Jan-04-2022,Oct-02-2021,Oct-10-2021,Dec-03-2021,
21059,354.79776119166115,313.47,252.87979,331.0,Dec-25-2021,Nov-14-2021,Sep-14-2021,Dec-02-2021,
21061,344.3635658220705,264.34,259.70325,322.0,Dec-17-2021,Sep-28-2021,Sep-23-2021,Nov-25-2021,
21063,364.7993362863673,237.46,291.80865,297.0,Jan-12-2022,Sep-07-2021,Oct-31-2021,Nov-06-2021,
21065,332.010689776013,245.58,252.31273,286.0,Dec-05-2021,Sep-09-2021,Sep-16-2021,Oct-20-2021,
21067,346.14216671384645,289.43,255.96623,325.0,Jan-07-2022,Nov-11-2021,Oct-08-2021,Dec-17-2021,
21069,356.33589689440663,268.99,293.65567,272.0,Dec-29-2021,Oct-02-2021,Oct-27-2021,Oct-06-2021,
21071,378.22718330581097,270.3,300.22043,313.0,Feb-15-2022,Oct-30-2021,Nov-29-2021,Dec-12-2021,
21073,351.70538786095693,300.59,254.34795,331.0,Dec-30-2021,Nov-09-2021,Sep-24-2021,Dec-10-2021,
21075,359.37203577801034,263.9,285.19833,314.0,Jan-09-2022,Oct-05-2021,Oct-27-2021,Nov-25-2021,
21077,381.9708743966335,266.3,296.77948,316.0,Feb-01-2022,Oct-09-2021,Nov-08-2021,Nov-28-2021,
21079,401.71206535863536,266.19,328.47528,313.0,Feb-25-2022,Oct-13-2021,Dec-14-2021,Nov-29-2021,
21081,355.28833593385565,264.42,292.91873,314.0,Jan-01-2022,Oct-02-2021,Oct-30-2021,Nov-21-2021,
21083,363.39642427355733,268.0,312.56836,327.0,Jan-06-2022,Oct-03-2021,Nov-16-2021,Dec-01-2021,
21085,338.465623864326,255.85,274.76535,283.0,Dec-30-2021,Oct-08-2021,Oct-27-2021,Nov-05-2021,
21087,346.52148671608677,267.89,278.4542,314.0,Dec-26-2021,Oct-08-2021,Oct-19-2021,Nov-24-2021,
21089,340.9715143914921,247.4,269.48807,295.0,Dec-25-2021,Sep-23-2021,Oct-15-2021,Nov-10-2021,
21091,338.2472316820222,264.24,295.412,272.0,Dec-12-2021,Sep-29-2021,Oct-30-2021,Oct-07-2021,
21093,363.28664275502547,263.77,303.23633,314.0,Jan-07-2022,Sep-29-2021,Nov-08-2021,Nov-19-2021,
21095,369.97992643385396,268.06,303.4569,314.0,Jan-10-2022,Oct-01-2021,Nov-05-2021,Nov-16-2021,
21097,334.390588073929,250.66,258.43335,292.0,Dec-22-2021,Sep-29-2021,Oct-07-2021,Nov-10-2021,
